日期：                            收益：
1/1/2021                        14389
1/5/2021                        1767
2/2/2021                         15124
2/7/2021                   	 84202
3/3/2021                        15162
3/5/2021			 30040
4/2/2021                        11102
4/6/2021                        75581
5/5/2021                        9804
5/6/2021                       10098
6/12/2021                        11754
6/13/2021                        36324
7/7/2021                          80335
7/21/2021                        32432
8/26/2021                       10484
8/31/2021                       432424
9/7/2021                         52364
9/16/2021                       23434
10/23/2021                       23445
10/31/2021                       53241
11/14/2021                       13434
11/30/2021                       32434
12/31/2021                     234234
12/31/2021                     1232




















